id,0me,host_id,host_0me,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,availability_365,reviews_per_month,calculated_host_listings_count,,last_review
1,LOVELY  LARGE SUNNY ROOM    Sunset Park,1113080,Audrey,Brooklyn,Sunset Park,40.64722,-74.00475,Private room,55,7,98,312,1.75,3,,5/22/2019
2,NE..Comfortable Room All Inclusive,68787921,Hurriyet Aydın /,Brooklyn,Bedford-Stuyvesant,40.68807,-73.92348,Private room,47,3,32,258,0.91,4,,5/12/2019
3,Cozy 1 BR in hip Crown Heights,7261749,Michelle,Brooklyn,Prospect-Lefferts Gardens,40.65719,-73.95421,Private room,30,4,2,6,0.81,1,,7/3/2019
4,Beautiful Furnished Room!,5986790,Gen,Manhattan,Washington Heights,40.83418,-73.94274,Private room,39,30,18,168,0.3,6,,5/27/2019
5,Cosy bedroom in Bushwick close to L&M train,7780845,Liset,Brooklyn,Bushwick,40.70133,-73.91726,Private room,65,2,3,28,0.28,3,,6/23/2019
6,Cozy home away from home,104568045,Luisa,Bronx,Morris Heights,40.85018,-73.9167,Private room,55,2,0,364,0,1,,0
7,Lovely room in Prospect Heights,15321576,Daniel,Brooklyn,Prospect Heights,40.67467,-73.96557,Private room,60,1,0,0,0,1,,0
8,Beautiful and Huge Room in Brooklyn,15640230,Susa0,Brooklyn,Crown Heights,40.66433,-73.93438,Private room,45,13,2,354,0.15,4,,7/31/2018
9,Irving Ave Bedroom Apartment,186178785,Simon,Brooklyn,Bushwick,40.69658,-73.90773,Private room,55,14,1,0,0.1,1,,8/31/2018
10,( GREEN ROOM) Private in a Beautiful Town House,50052968,Mike,Brooklyn,Bedford-Stuyvesant,40.68447,-73.9396,Private room,42,2,9,64,4.91,3,,7/1/2019
11,New nice bedrooms in 2 bedroom apt. 1R,122498535,Gf,Brooklyn,East Flatbush,40.655,-73.92764,Private room,40,30,3,288,0.23,3,,6/21/2019
12,Clean and pleasant Room in NYC,11503864,Omar,Queens,Astoria,40.76427,-73.91562,Shared room,65,1,0,0,0,1,,0
13,Cozy Room Minutes To Manhattan. #2,72603148,Faye,Staten Island,Stapleton,40.63464,-74.07842,Private room,55,1,13,362,0.48,3,,3/20/2019
14,(B) Private Single Twin Room LGA JFK Manhattan 15m,263053182,Fmny,Queens,Rego Park,40.72718,-73.86541,Private room,55,1,3,120,2.57,10,,6/19/2019
15,PRIVATE CLEAN ROOM,139357580,Shuly,Queens,Ditmars Steinway,40.77156,-73.90521,Private room,60,1,48,128,2.27,8,,1/3/2019
16,Fabulous 1 Bedroom in the Heart of Greenpoint!,187487947,Diego,Brooklyn,Greenpoint,40.73202,-73.95595,Entire home/apt,68,1,20,0,3.82,6,,6/1/2019
17,"CLEAN, SAFE, AFFORDABLE",214863971,Elenora And Jason,Brooklyn,Flatlands,40.62063,-73.9244,Private room,40,2,10,43,2.34,2,,7/6/2019
18,Spacious Room in Adorable Apartment,8838164,Mia,Brooklyn,Bedford-Stuyvesant,40.69224,-73.95865,Private room,45,14,0,0,0,1,,0
19,Manhattan room with a fire escape!,149184623,Eli0,Manhattan,Washington Heights,40.83636,-73.94487,Private room,65,2,81,11,3.8,1,,7/6/2019
20,Private Spacious Bedroom in lush green Fort George,45776423,Aman,Manhattan,Washington Heights,40.85719,-73.93048,Private room,35,3,3,5,3,1,,6/14/2019
21,Spacious Private Room in Ditmas Park,47326818,Emilyn,Brooklyn,Flatbush,40.65177,-73.96417,Private room,37,2,3,0,0.16,1,,1/25/2018
22,442 w 57st. hanover apt sharing,23521722,Jinwon,Manhattan,Hell's Kitchen,40.76767,-73.98783,Shared room,64,2,0,0,0,1,,0
23,All 0tions Home II-PVT br Queenbed,1639755,Adria0,Brooklyn,Fort Hamilton,40.61985,-74.03255,Private room,55,2,56,306,1.23,2,,6/28/2019
24,Beautiful Bedroom in Great Apt!,42682752,Katharine,Brooklyn,Cobble Hill,40.68868,-73.99206,Private room,65,2,17,0,0.45,3,,8/5/2018
25,The Jamaica Experience,46662635,DuVall,Queens,Jamaica,40.70477,-73.80335,Entire home/apt,44,1,3,330,3,1,,7/3/2019
26,Cozy bedroom in BUSHWICK by GATES stop J Train!!!,272127488,Jim&Daniela,Brooklyn,Bushwick,40.69048,-73.92258,Private room,55,1,0,276,0,2,,0
27,Happy cozy Manchi GUEST ROOM,1267556,Mari J,Brooklyn,Flatbush,40.63995,-73.96196,Shared room,30,1,81,319,1.39,1,,6/29/2019
28,"Cozy 2BD, 20 mins to Times SQ",2368446,Chelsey,Queens,Ditmars Steinway,40.77443,-73.90756,Private room,60,1,0,0,0,1,,0
29,Cosy and quiet Williamsburg room,8439782,Tim,Brooklyn,Williamsburg,40.71322,-73.95199,Private room,49,5,0,0,0,1,,0
30,.Melinda's Place,170265686,Arlene,Brooklyn,Crown Heights,40.66615,-73.95426,Entire home/apt,69,3,85,193,5,1,,6/18/2019
31,Central Park North- 1 bed Apt to share (female),13509844,Ara,Manhattan,East Harlem,40.79665,-73.94928,Private room,69,7,7,0,0.18,1,,8/14/2016
32,Beautiful room near central park,271393608,Michael,Manhattan,Hell's Kitchen,40.7664,-73.98586,Shared room,69,1,1,24,1,6,,6/30/2019
33,Private Open Space,216586341,Joe,Brooklyn,Crown Heights,40.67172,-73.95031,Entire home/apt,50,3,3,0,0.33,1,,11/7/2018
34,Private Room for Rent,14194388,Michael,Manhattan,East Harlem,40.79008,-73.94766,Private room,66,4,1,0,0.02,1,,11/27/2015
35,It's a Delightful Day in Bed-Stuy!,19536596,Andrew,Brooklyn,Cypress Hills,40.67627,-73.90795,Private room,48,1,57,199,7.57,5,,7/4/2019
36,Cozy Room East Williamsburg (15 Min to Manhattan),210019212,Holden,Brooklyn,Bushwick,40.70767,-73.92307,Private room,49,7,28,28,2.78,3,,6/25/2019
37,Park Slope it! Close to Manhattan! Renovated!,31697949,Michelle,Brooklyn,Sunset Park,40.66475,-73.99629,Private room,30,2,7,0,0.36,1,,5/15/2018
38,Cozy Artistic Haven,41510712,Jac,Manhattan,Harlem,40.82827,-73.9493,Private room,36,1,1,0,0.02,1,,12/27/2015
39,Share Room;Relaxing Guaranteed;Or REFUND !!,175730239,Baboucarr,Queens,Sunnyside,40.739,-73.92796,Shared room,30,3,0,360,0,12,,0
40,Comfy & Spacious Room in Williamsburg Loft,236432765,Aleks,Brooklyn,Williamsburg,40.71736,-73.95394,Private room,50,2,3,330,0.78,2,,5/3/2019
41,Single room (2),255641440,Li,Queens,Flushing,40.76108,-73.80736,Private room,32,1,3,285,1.76,7,,5/26/2019
42,Woody's Larger Bedroom,24591977,Woody,Brooklyn,Bedford-Stuyvesant,40.67924,-73.9102,Private room,55,4,25,0,1.67,2,,1/14/2019
43,SERENITY ROOM,45601111,Dlb,Queens,Laurelton,40.66952,-73.74624,Private room,40,2,47,173,1.19,5,,2/15/2019
44,MI CASA ES TÚ CASA,253118370,Mary,Queens,Flushing,40.76409,-73.82928,Private room,53,1,23,161,8.73,2,,7/7/2019
45,Brand New Hamilton Heights Apartment,38576999,Maureen,Manhattan,Harlem,40.82806,-73.94537,Private room,50,20,0,42,0,1,,0
46,0,31147528,Huei-Yin,Brooklyn,Williamsburg,40.71354,-73.93882,Private room,45,1,0,0,0,1,,0
47,LES Private Room in 3BR Apt,4309521,Sarah,Manhattan,Lower East Side,40.71959,-73.98984,Private room,60,1,1,0,0.02,1,,1/5/2016
48,Half a block from the train! my private cozy room,239978864,Patricia,Queens,Jackson Heights,40.7489,-73.87549,Private room,50,2,20,167,4.69,1,,7/1/2019
49,Wall-size window Private Bedroom,238145460,Cindy,Brooklyn,Flatbush,40.63037,-73.95671,Private room,45,1,9,129,1.72,1,,6/24/2019
50,Manhattan clean. warm. safe room / 6 train,174124006,Chanhee,Manhattan,East Harlem,40.7975,-73.93556,Private room,60,1,61,45,3.67,1,,6/27/2019
51,Home near the park,139897963,Vanisha-Arleen,Brooklyn,Prospect-Lefferts Gardens,40.65694,-73.95374,Private room,33,7,0,159,0,1,,0
52,Private Room in Spacious Apt by Prospect Park,14201257,Jamie,Brooklyn,Flatbush,40.65218,-73.96551,Private room,40,7,4,1,0.92,1,,7/6/2019
53,Spacious Bedroom in Renovated Apartment- Astoria,75563831,Rayan,Queens,Astoria,40.75811,-73.90954,Private room,43,4,19,1,1.64,2,,7/5/2019
54,Comfortable private room near Columbia University,224190427,Miller,Manhattan,Upper West Side,40.80183,-73.96542,Private room,68,1,14,12,2.02,1,,6/21/2019
55,Skylit Bedroom In Brooklyn,3734323,Colin,Brooklyn,Bushwick,40.68629,-73.91245,Private room,49,2,15,0,2.8,3,,6/22/2019
56,Gorgeous room in Historic Harlem street,16686968,Ricardo,Manhattan,Harlem,40.81041,-73.94337,Private room,55,2,114,270,3.34,1,,5/27/2019
